user_id,Recency,Frequency,Monetary
1966597,82,1,81.94
8774520,505,1,81.94
10960949,445,1,81.94
11402576,421,1,81.94
12685381,71,1,81.94
13344066,565,1,81.94
14684905,334,1,81.94
17977799,411,1,81.94
18217951,521,1,81.94
19968418,297,1,81.94
20814855,256,1,81.94
21507743,574,2,81.94
21595050,508,1,81.94
21637455,456,2,81.94
21700874,469,2,81.94
21840890,73,2,81.94
22170997,56,1,81.94
12908465,171,1,81.93
15806666,387,1,81.93
20451191,144,1,81.93
21094707,554,1,81.93
21290840,576,1,81.93
21800322,269,1,81.93
21873068,365,2,81.93
2349981,91,1,81.92
20525634,465,1,81.92
21729888,113,2,81.92
10444704,411,2,81.91
19974057,229,1,81.91
21124943,39,2,81.91
21901269,354,1,81.91
20010910,468,1,81.9
21369161,474,1,81.9
21585335,514,1,81.9
21599711,505,1,81.9
21609908,499,1,81.9
21712233,464,1,81.9
21750856,448,1,81.9
21823674,414,2,81.9
22083087,118,1,81.9
9278746,214,1,81.89
16005152,489,1,81.89
20900100,4,3,81.89
21178348,380,1,81.89
21642411,491,1,81.89
21714503,360,3,81.89
21887613,371,1,81.89
2999075,455,1,81.88
8945950,454,1,81.88
14107492,76,2,81.88
14583274,24,2,81.88
14753195,104,2,81.88
18772912,262,1,81.88
19543439,430,1,81.88
19916923,48,2,81.88
20762133,388,1,81.88
21205504,457,1,81.88
21553618,453,2,81.88
21678064,478,1,81.88
21685047,475,1,81.88
21687707,460,2,81.88
21728812,456,1,81.88
21783958,432,1,81.88
21851323,396,1,81.88
11647214,126,1,81.87
14993705,255,1,81.87
20311409,542,1,81.87
20429804,416,1,81.87
21623153,475,1,81.87
21785708,429,1,81.87
21788097,430,1,81.87
21940114,294,1,81.87
11973080,0,2,81.86
17756343,399,1,81.86
17935447,337,2,81.86
18057432,63,1,81.86
20053652,430,1,81.86
21762697,442,2,81.86
21769918,439,1,81.86
21996734,228,1,81.86
22006961,73,1,81.86
22139110,77,1,81.86
12016430,136,2,81.85
17662354,105,1,81.85
19301615,66,2,81.85
21517200,570,1,81.85
21696775,470,1,81.85
21950672,268,1,81.85
22004621,224,1,81.85
22043307,158,1,81.85
22054984,145,1,81.85
22109965,94,1,81.85
22126492,84,1,81.85
22206341,28,1,81.85
22229721,4,1,81.85
5243933,293,1,81.84
16362871,430,1,81.84
16769154,179,1,81.84
21319400,299,1,81.84
